"50words,3.65960599"
"Adiac,4.13852653"
"ArrowHead,1.09887502"
"Beef,1.592214"
"BeetleFly,0.6675003"
"BirdChicken,0.69322965"
"Car,1.38567243"
"CBF,1.0958697"
"ChlorineConcentration,1.09362221"
"CinC_ECG_torso,1.38839386"
"Coffee,0.69281675"
"Computers,0.75504502"
"Cricket_X,2.73063831"
"Cricket_Y,2.70919006"
"Cricket_Z,2.75892564"
"DiatomSizeReduction,1.39542641"
"DistalPhalanxOutlineAgeGroup,4.00453916"
"DistalPhalanxOutlineCorrect,0.68643767"
"DistalPhalanxTW,1.61510544"
"Earthquakes,0.48908172"
"ECG200,1.78813949e-07"
"ECG5000,0.46886604"
"ECGFiveDays,0.71969263"
"ElectricDevices,8.46811358"
"FaceAll,2.75348841"
"FaceFour,1.3031373"
"FacesUCR,3.1310434"
"FISH,2.05866817"
"FordA,1.19209304e-07"
"FordB,1.19209304e-07"
"Gun_Point,0.6931597"
"Ham,0.69332901"
"HandOutlines,0.68644203"
"Haptics,1.61656072"
"Herring,0.67603169"
"InlineSkate,1.92200228"
"InsectWingbeatSound,2.39942065"
"ItalyPowerDemand,0.69231886"
"LargeKitchenAppliances,1.44531102"
"Lighting2,4.76837272e-07"
"Lighting7,2.06647002"
"MALLAT,2.1723256"
"Meat,1.09861244"
"MedicalImages,1.83744843"
"MiddlePhalanxOutlineAgeGroup,1.2016242"
"MiddlePhalanxOutlineCorrect,0.69301302"
"MiddlePhalanxTW,1.71543308"
"MoteStrain,0.6629322"
"NonInvasiveFatalECG_Thorax1,4.46696257"
"NonInvasiveFatalECG_Thorax2,3.86181244"
"OliveOil,1.30982386"
"OSULeaf,1.85486706"
"PhalangesOutlinesCorrect,0.76729408"
"Plane,1.95125708"
"ProximalPhalanxOutlineAgeGroup,1.4139192"
"ProximalPhalanxOutlineCorrect,0.62255095"
"ProximalPhalanxTW,1.57249813"
"RefrigerationDevices,1.65499453"
"ScreenType,1.09912537"
"ShapeletSim,0.69030331"
"ShapesAll,4.76050156"
"SmallKitchenAppliances,1.09921896"
"SonyAIBORobotSurface,0.68692225"
"SonyAIBORobotSurfaceII,1.55541056"
"StarLightCurves,0.46819501"
"Strawberry,1.18914028"
"SwedishLeaf,3.25345066"
"Symbols,1.64248317"
"synthetic_control,1.26929368"
"ToeSegmentation1,0.69465448"
"ToeSegmentation2,0.72577575"
"Trace,1.39615041"
"TwoLeadECG,0.69527662"
"Two_Patterns,1.4118879"
"UWaveGestureLibraryAll,2.27198158"
"uWaveGestureLibrary_X,2.20318424"
"uWaveGestureLibrary_Y,1.87108632"
"uWaveGestureLibrary_Z,2.29733124"
"wafer,1.19209304e-07"
"Wine,0.69315494"
"WordsSynonyms,3.00181969"
"Worms,1.54418781"
"WormsTwoClass,0.68940091"
"yoga,0.69673935"
