"50words,4.00074992"
"Adiac,3.8266102"
"ArrowHead,1.10390851"
"Beef,1.57590847"
"BeetleFly,0.69320711"
"BirdChicken,0.70332507"
"Car,1.43185853"
"CBF,1.08296078"
"ChlorineConcentration,1.09410385"
"CinC_ECG_torso,1.41891698"
"Coffee,0.69020677"
"Computers,0.69314724"
"Cricket_X,3.13097748"
"Cricket_Y,2.81263811"
"Cricket_Z,2.67712127"
"DiatomSizeReduction,1.42061015"
"DistalPhalanxOutlineAgeGroup,1.02048576"
"DistalPhalanxOutlineCorrect,0.68676364"
"DistalPhalanxTW,1.54109222"
"Earthquakes,0.4687751"
"ECG200,1.20818686e-06"
"ECG5000,0.62253068"
"ECGFiveDays,1.02225936"
"ElectricDevices,1.71721516"
"FaceAll,2.8044798"
"FaceFour,2.00789737"
"FacesUCR,2.57160706"
"FISH,1.96645333"
"FordA,1.19209304e-07"
"FordB,1.19209304e-07"
"Gun_Point,0.69329295"
"Ham,0.69285726"
"HandOutlines,0.65553519"
"Haptics,1.70770751"
"Herring,0.71653916"
"InlineSkate,1.93436271"
"InsectWingbeatSound,2.48621895"
"ItalyPowerDemand,0.65129899"
"LargeKitchenAppliances,1.09872331"
"Lighting2,2.38418608e-07"
"Lighting7,2.29568865"
"MALLAT,2.08831963"
"Meat,2.28231529"
"MedicalImages,1.97588172"
"MiddlePhalanxOutlineAgeGroup,1.27019296"
"MiddlePhalanxOutlineCorrect,0.68192805"
"MiddlePhalanxTW,1.81423556"
"MoteStrain,0.69220237"
"NonInvasiveFatalECG_Thorax1,3.79143652"
"NonInvasiveFatalECG_Thorax2,4.15581507"
"OliveOil,1.32058967"
"OSULeaf,1.79043777"
"PhalangesOutlinesCorrect,0.69713656"
"Plane,1.94359241"
"ProximalPhalanxOutlineAgeGroup,1.03660442"
"ProximalPhalanxOutlineCorrect,0.62955954"
"ProximalPhalanxTW,1.4919163"
"RefrigerationDevices,1.09187159"
"ScreenType,1.14411592"
"ShapeletSim,0.72493033"
"ShapesAll,4.52113497"
"SmallKitchenAppliances,1.09925187"
"SonyAIBORobotSurface,0.68743996"
"SonyAIBORobotSurfaceII,0.67561128"
"StarLightCurves,0.70417019"
"Strawberry,0.65245161"
"SwedishLeaf,3.09071336"
"Symbols,1.62387248"
"synthetic_control,0.88832494"
"ToeSegmentation1,0.69618427"
"ToeSegmentation2,0.67824761"
"Trace,1.39432983"
"TwoLeadECG,0.69343108"
"Two_Patterns,1.39423878"
"UWaveGestureLibraryAll,2.16271533"
"uWaveGestureLibrary_X,2.0247512"
"uWaveGestureLibrary_Y,1.81192799"
"uWaveGestureLibrary_Z,2.07321861"
"wafer,1.19218974e-07"
"Wine,0.6943455"
"WordsSynonyms,3.07079412"
"Worms,1.56179558"
"WormsTwoClass,0.7797849"
"yoga,0.69078376"
